Date,Created timezone,Profile name,Profile URL,Profile followers,Profile ID,Post detail URL,Mentioned profiles ID,Collaborators,Content ID,Platform,Content type,Media type,Origin of the content,Title,Description,Author URL,Author ID,Author name,Content,Link URL,View on platform,Organic interactions,Total interactions,Organic interactions per 1000 followers,Interactions per 1000 followers,Grade,Last grade,Sentiment,Positive comments,Positive comments (%),Negative comments,Negative comments (%),Neutral comments,Neutral comments (%),Total reactions,Organic likes,Total comments,Save rate,Organic comments,Total shares,Deleted,Hidden,Spam,Unpublished,Saves,Engagements,Promoted post detection,Reactions - like,Reactions - love,Reactions - haha,Reactions - wow,Reactions - sad,Reactions - angry,Shared,Crosspost,Live,Crosspostable,Total reach,Paid reach,Organic reach,Total impressions,Paid impressions,Organic impressions,Impressions engagement rate,Reach engagement rate,Engaged users,Negative feedback,Lifetime post stories,Total likes,Total story likes,Total story comments,Total story shares,Post consumers,Post clicks,Photo views,Link clicks,Other clicks,Media views,Video play,Insights reactions - like,Insights reactions - love,Insights reactions - haha,Insights reactions - wow,Insights reactions - sad,Insights reactions - angry,Insights reactions,Video length (sec),Video view count,Total video view time (sec),Recorded,Views - auto-played,Views - click to play,Views - organic,Views - paid,Views - unique,Initial video views,10-second views,10-second views - auto-played,10-second views - click to play,10-second views - organic,10-second views - paid,10-second views - unique,30-second views,30-second views - auto-played,30-second views - click to play,30-second views - organic,30-second views - paid,30-second views - unique,Completed video views,Average completion (%),Average time watched (sec),Exits,Taps back,Taps forward,Completion rate,Labels,Label groups,Media tags,Insights video view count,Insights comments,Insights like count,Insights dislike count,Insights share count,Engagements - YouTube insights,Insights subscribers lost,Insights subscribers gained,Insights view time,Swipe up,Swipe down,Screenshots,Media view time,Avg. Video Views per Video
01/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2191959,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU3MTI0MTAzMTEwNjc3IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1357124103110677,facebook,post,reel,Brand's content,US and Israel’s attacks leave Iranians in shock and panic,,https://www.facebook.com/TheNationalNews,148788988477345,The National,Yusef Jalali reports from Tehran as the US and Israel launch major attacks and Iran retaliates.,,https://www.facebook.com/148788988477345_1357124103110677,,1678,,0.765525268,A,,strongly negative,5,6%,55,66%,23,28%,1539,,84,,,55,,FALSE,FALSE,,,12476,organic,1441,23,13,15,36,11,FALSE,FALSE,FALSE,FALSE,219265,0,219265,221182,0,221182,5.64%,5.69%,,,1789,1539,1704,30,55,,10686,,,10686,221182,,1602,25,15,15,37,11,1705,152,152050,4358357,,140917,11133,152050,0,146047,,,,,,,,37164,33308,3856,37164,0,36377,5359,0.146926121,23,,,,,,,,,,,,,,,,,,,,,152050
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,640249,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MDg1MzU0NTIzNTE3MzAwIiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18085354523517300,instagram,post,reel,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,Yusef Jalali reports from Tehran as the US and Israel launch major attacks and Iran retaliates.,,https://www.instagram.com/reel/DVULKv4EUar/,644,644,1.0058587,1.0058587,C,,,,,,,,,642,642,2,,2,247,,,,,43,934,,,,,,,,,,,,90248,,90248,144593,,144593,0.65%,1.03%,,,,642,,,,,,,,,144593,,,,,,,,,,144593,,,,,144593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144593
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MDA4MzkzMDE4ODM1NTU3IiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18008393018835557,instagram,story,video,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,3,,,,,,,,,,,,49500,,49500,60898,,60898,0.00%,0.01%,,,,,,,,,,,,,60898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,4261,50915,6.52%,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MDQyNjA4Nzk1NzU3NTA3IiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18042608795757507,instagram,story,photo,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,,,,,,,,,,,,,,,,,,,1,,,38,,,,,,1,,,,,,,,,,,,50148,,50148,61629,,61629,0.00%,0.00%,,,,,,,,,,,,,61629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4615,3282,45990,12.56%,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National News,https://www.youtube.com/channel/UCGYf0VFdlSTzcJghW9z1DAA,716000,UCGYf0VFdlSTzcJghW9z1DAA,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6InhBSzdpM1RFMTFRIiwicHJvZmlsZUlkIjoiVUNHWWYwVkZkbFNUemNKZ2hXOXoxREFBIiwibmV0d29yayI6InlvdXR1YmUifQ==/overview,,,xAK7i3TE11Q,youtube,post,video,Brand's content,Sheikh Mohammed celebrates team Godolphin’s victory at Meydan Racecourse,,https://www.youtube.com/channel/UCGYf0VFdlSTzcJghW9z1DAA,UCGYf0VFdlSTzcJghW9z1DAA,The National News,"Sheikh Mohammed bin Rashid, Vice President and Ruler of Dubai, celebrates Godolphin star Rebel’s Romance’s victory at the Meydan Racecourse on Saturday.All the latest news: https://www.thenationalnews.comLike us on Facebook: https://www.facebook.com/TheNationalNewsFollow us on X: https://twitter.com/TheNationalNewsFollow us on Instagram: https://www.instagram.com/thenationalnews.com/Follow us on LinkedIn: https://www.linkedin.com/company/thenationalnews",,https://www.youtube.com/watch?v=xAK7i3TE11Q,,37,,0.051676,,,,,,,,,,37,,0,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,53,2697,142941,,,,,,,,,,,,,,,,,,,,,27.66792453,15,,,,,,,,2500,9,35,1,22,67,0,2,36660,,,,,2697
01/03/2026,UTC +04:00,The National News,https://www.tiktok.com/@thenationalnews,1557351,f7543525-1f92-513e-a59b-1ab9132d7362,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6Ijc2MTIwMzA4ODQ1MzA3MjAwMDciLCJwcm9maWxlSWQiOiJmNzU0MzUyNS0xZjkyLTUxM2UtYTU5Yi0xYWI5MTMyZDczNjIiLCJuZXR3b3JrIjoidGlrdG9rIn0=/overview,,,7612030884530720007,tiktok,post,video,Brand's content,,,,,,"Sheikh Mohammed bin Rashid, Vice President and Ruler of Dubai, celebrates Godolphin star Rebel’s Romance’s victory at the Meydan Racecourse on Saturday.",,https://www.tiktok.com/@thenationalnews/video/7612030884530720007?utm_campaign=tt4d_open_api&utm_source=6997404317372137474,,,,,,,,,,,,,,206,,0,,,18,,,,,,224,,,,,,,,,,,,17174,,,19854,,,,1.30%,,,,206,,,,,,,,,,,,,,,,,,53,19854,132246,,,,,,,,,,,,,,,,,,,,,,4,,,,0.81%,,,,,,,,,,,,,,,,,19854
01/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2191959,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU3MTUyODQ5Nzc0NDY5IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1357152849774469,facebook,post,reel,Brand's content,,,https://www.facebook.com/TheNationalNews,148788988477345,The National,"Sheikh Mohammed bin Rashid, Vice President and Ruler of Dubai, celebrates Godolphin star Rebel’s Romance’s victory at the Meydan Racecourse on Saturday.",,https://www.facebook.com/148788988477345_1357152849774469,,435,,0.198452617,B,,positive,4,29%,3,21%,7,50%,401,,14,,,20,,FALSE,FALSE,,,1781,organic,314,48,37,0,0,2,FALSE,FALSE,FALSE,FALSE,37017,0,37017,43204,0,43204,4.12%,4.81%,,,439,401,418,1,20,,1342,,,1342,43204,,328,49,39,,,2,418,53,24884,385913,,24298,586,24884,0,23850,,,,,,,,3510,3372,138,3510,0,3510,2002,0.191074159,10,,,,,,,,,,,,,,,,,,,,,24884
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,640498,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MDc0NTA1MjMzNDUxNDMzIiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18074505233451433,instagram,post,reel,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,"Sheikh Mohammed bin Rashid, Vice President of UAE and Ruler of Dubai, celebrates Godolphin star Rebel’s Romance’s victory at the Meydan Racecourse on Saturday.",,https://www.instagram.com/reel/DVURjgEkSOv/,1056,1056,1.6487171,1.6487171,B,,positive,7,50%,3,21%,4,29%,1030,1030,26,,26,325,,,,,39,1420,,,,,,,,,,,,50838,,50838,63556,,63556,2.23%,2.79%,,,,1030,,,,,,,,,63556,,,,,,,,,,63556,,,,,63556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63556
01/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047756,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc4NjAwNTU5NTgxMTQ3OTMiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027860055958114793,twitter,post,video,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,"Sheikh Mohammed bin Rashid, Vice President and Ruler of Dubai, celebrates Godolphin star Rebel’s Romance’s victory at the Meydan Racecourse on Saturday. https://t.co/2pUsS9kqzU",,https://twitter.com/20583993/status/2027860055958114793,,217,,0.2071093,,,,,,,,,,192,,0,,,25,,,,,,476,,,,,,,,,,,,,,,63797,,63797,0.75%,,,,,192,,,,,,,,,,,,,,,,,,,21392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21392
01/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047771,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc4NjMzMTA0MTExNzQxNjUiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027863310411174165,twitter,post,animated_gif,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,#Breaking:President Trump confirms Iran’s supreme leader killed in strikes https://t.co/Y8XRKLjX1O,,https://twitter.com/20583993/status/2027863310411174165,,14,,0.0133617,,,,,,,,,,8,,0,,,6,,,,,,96,,,,,,,,,,,,,,,4052,,4052,2.37%,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2191959,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU3MTY1NTQ5NzczMTk5IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1357165549773199,facebook,post,photo,Brand's content,,"US President Donald Trump confirmed that Iran's supreme leader Ayatollah Ali Khamenei was killed in joint US-Israeli strikes on Saturday.""Khamenei, one of the most evil people in History, is dead,"" wrote the President in a post on Truth Social.""This is not only Justice for the people of Iran, but for all Great Americans, and those people from many Countries throughout the World, that have been killed or mutilated by Khamenei and his gang of bloodthirsty THUGS. He was unable to avoid our Intelligence and Highly Sophisticated Tracking Systems and, working closely with Israel, there was not a thing he, or the other leaders that have been killed along with him, could do. This is the single greatest chance for the Iranian people to take back their Country,"" he added.",https://www.facebook.com/TheNationalNews,148788988477345,The National,"US President Donald Trump confirmed that Iran's supreme leader Ayatollah Ali Khamenei was killed in joint US-Israeli strikes on Saturday.""Khamenei, one of the most evil people in History, is dead,"" wrote the President in a post on Truth Social.""This is not only Justice for the people of Iran, but for all Great Americans, and those people from many Countries throughout the World, that have been killed or mutilated by Khamenei and his gang of bloodthirsty THUGS. He was unable to avoid our Intelligence and Highly Sophisticated Tracking Systems and, working closely with Israel, there was not a thing he, or the other leaders that have been killed along with him, could do. This is the single greatest chance for the Iranian people to take back their Country,"" he added.",,https://www.facebook.com/148788988477345_1357165549773199,,1193,,0.544262005,A,,negative,23,12%,110,58%,57,30%,922,,191,,,80,,FALSE,FALSE,,,12437,organic,710,45,103,5,39,20,,,,,156549,0,156549,243601,0,243601,5.11%,7.94%,,,1281,922,1006,191,84,,11154,1392,,9762,243601,,779,46,107,7,48,21,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,640498,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MDkwMzA2MjU3MTE2NDUyIiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18090306257116452,instagram,post,photo,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,"US President Donald Trump confirmed that Iran's supreme leader Ayatollah Ali Khamenei was killed in joint US-Israeli strikes on Saturday.""Khamenei, one of the most evil people in History, is dead,"" wrote the President in a post on Truth Social.""This is not only Justice for the people of Iran, but for all Great Americans, and those people from many Countries throughout the World, that have been killed or mutilated by Khamenei and his gang of bloodthirsty THUGS. He was unable to avoid our Intelligence and Highly Sophisticated Tracking Systems and, working closely with Israel, there was not a thing he, or the other leaders that have been killed along with him, could do. This is the single greatest chance for the Iranian people to take back their Country,"" he added.",,https://www.instagram.com/p/DVUURwyjVhA/,1032,1032,1.6112462,1.6112462,B,,negative,7,23%,10,33%,13,43%,975,975,57,,57,823,,,,,50,1917,,,,,,,,,,,,61697,,61697,104115,,104115,1.84%,3.11%,,,,975,,,,,,,,,104115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
