name,slug,description,variations,isPrimary
Abu Dhabi Golf Championship,abu-dhabi-golf-championship,The Abu Dhabi HSBC Championship is an annual European tour golf tournament played at Yas Links,"HSBC Championship, Abu Dhabi HSBC, Yas Links golf",0
Abu Dhabi Grand Prix 2025,abu-dhabi-grand-prix,"The thrilling finale of the Formula One season at Yas Marina Circuit. All you need to know about F1 including the schedule, start time and concerts","Abu Dhabi GP, Yas Marina GP, F1 Abu Dhabi, Abu Dhabi F1",0
Abu Dhabi International Book Fair,abu-dhabi-international-book-fair,"Latest news and stories from the major literary event featuring renowned authors, book launches and cultural discussions","ADIBF, Abu Dhabi book fair, ABIBF",0
Abu Dhabi Police,abu-dhabi-police,"Read the latest news on the UAE capital's law enforcement, ensuring public safety directives, crime prevention and traffic management updates","AD Police, Abu Dhabi law enforcement",0
Abu Dhabi Securities Exchange,abu-dhabi-securities-exchange,Stay updated with the latest market news and analysis from the Abu Dhabi Securities Exchange (ADX),"ADX, Abu Dhabi stock exchange, Abu Dhabi bourse",0
Abu Dhabi T10,abu-dhabi-t10,"The fast-paced, explosive cricket tournament featuring global superstars in the shortest format of the game","T10 cricket, T10 league, Abu Dhabi cricket",0
AC Milan,ac-milan,"Updates and analysis on the iconic Italian football club, from Serie A performances to Champions League aspirations","Milan, Rossoneri, ACM, AC, Associazione Calcio Milan",0
ADCB,adcb,UAE-based Abu Dhabi Commercial Bank was established in 1985,"Abu Dhabi Commercial Bank, AD Commercial Bank",0
Aden,aden,"The latest news from Aden, a key port in southern Yemen","Port of Aden, Yemeni port",0
Adipec,adipec,Abu Dhabi International Petroleum Exhibition & Conference is one of the world's largest events of its kind - here are the latest updates,"Abu Dhabi Petroleum Exhibition, ADIPEC conference, oil conference",0
Adnoc,adnoc,"Latest reports on the Abu Dhabi National Oil Company, among the largest state-owned oil giants in the world","Abu Dhabi National Oil Company, ADNOC, UAE oil company",0
Adnoc Pro League,adnoc-pro-league,"The UAE's top-tier football competition, featuring the country's best clubs battling for domestic supremacy","UAE Pro League, Arabian Gulf League, UAE football league",0
ADQ,adq,"Follow the latest on Abu Dhabi Developmental Holding Company, one of the world's top sovereign wealth funds","Abu Dhabi Developmental Holding Company, AD sovereign fund, ADQ fund",0
AFC Champions League 2025-2026,afc-champions-league,"Latest news, fixtures and results for the Asian Champions League","Asian Champions League, ACL, AFC CL",0
Afghanistan,afghanistan,"The latest news, stories and updates from the central Asian country","Afghan, Islamic Emirate",0
Africa,africa,"The latest news, stories and updates from the world's second largest continent","African continent, African nations",0
Africa Cup of Nations,africa-cup-of-nations,"Africa's premier international football tournament, showcasing the continent's top teams and talents","AFCON, African Cup, CAN",0
Agriculture,agriculture,The latest stories and analysis on agriculture,"Farming, agri, agricultural sector",0
Aid,aid,The latest news on humanitarian relief,"Humanitarian aid, relief, assistance",0
Air Arabia,air-arabia,"From new flight routes to financial reports, find the latest news on the UAE's only listed airline","Air Arabia airline, AIRARABIA",0
Airbus,airbus,"Get the latest news and updates on Airbus, the European aerospace leader in commercial, military and space aircraft manufacturing","Airbus SE, European aerospace",0
Airlines,airlines,"News and analysis on major airlines, new routes, service changes and challenges facing the aviation industry","Carriers, aviation, air carriers",0
Airports,airports,The latest airport and flight news in the UAE and around the world,"Airport, aviation hubs, air terminals",0
Ajman,ajman,Read the latest news and events from the smallest of the UAE's seven emirates,"Ajman emirate, Ajman UAE",0
Al Ahli Saudi FC,al-ahli,"Al Ahli Saudi FC are a football club based in Jeddah and have spent all but one season outside the top Saudi Pro League. Considered on of the country's Big Four, the PIF-backed Al Ahli have Riyad Mahrez, Roberto Firminho and Edouard Mendy among their ranks","Al Ahli, Ahli Saudi, Al Ahli Jeddah",0
Al Ain,al-ain,"Read the latest news and events from Al Ain, often called the Garden City and famous for its oases, historical forts and rich culture, in Abu Dhabi","Garden City, Al Ain city, Al Ain UAE",0
Al Ain Football Club,al-ain-football-club,"The UAE's most successful football club, known for its domestic dominance and continental ambitions in the AFC Champions League","Al Ain FC, Al Ain club, The Boss",0
Al Aqsa Mosque,al-aqsa-mosque,"Al Aqsa Mosque is part of a compound known as Haram Al Sharif by Muslims, which also includes the Dome of the Rock shrine, and is found in Jerusalem's Old City","Aqsa, Al Aqsa, Haram Al Sharif, Al-Aqsa",0
Al Ettifaq FC,al-ettifaq,"The Dammam-based Al Ettifaq FC have won two Saudi Pro League titles in their history, but they both came back in the 1980s. Ex-Liverpool legend Steven Gerrard was manager of the club","Al Ettifaq, Ettifaq, Al Ettifaq Dammam",0
Al Hilal SFC,al-hilal,Al Hilal are a Saudi football club based Riyadh. They are one of Saudi Arabia's biggest clubs and have won the Saudi Pro League 18 times,"Al Hilal, Hilal, Al Hilal Riyadh, Al Zaeem",0
Al Ittihad Club,al-ittihad,Al Ittihad Club are a Saudi football club based in Al Hasa. Ex-Real Madrid star Karim Benzema joined the club in 2023 and they were managed by former West Ham and Croatia boss Slaven Bilic,"Al Ittihad, Ittihad, Al Ittihad Jeddah",0
Al Jazira Football Club,al-jazira-football-club,"A top UAE football club, consistently competing at the highest level in the Adnoc Pro League and AFC tournaments","Al Jazira FC, Jazira, Pride of Abu Dhabi",0
Al Nassr FC,al-nassr,"Al Nassr FC are a Saudi football club based in Riyadh, who play in the Saudi Premier League. They are captained by Portugal legend Cristiano Ronaldo and are one of the most successful clubs in Saudi Arabia","Al Nassr, Nassr, Al Nassr Riyadh, Ronaldo club",0
Al Qaeda,al-qaeda,"Al Qaeda is militant organisation founded in 1988 and led by Saif Al Adel. It has many branches, notably in Afghanistan, Yemen, Somalia and in the Maghreb","Al Qaida, AQ, Qaeda",0
AlUla,al-ula,All you need to know about the Saudi city of AlUla,"Al Ula, Alula Saudi, Al-Ula",0
Al Wahda Football Club,al-wahda-football-club,A prominent Abu Dhabi football club known for its strong league performances and dedicated supporter base,"Al Wahda FC, Wahda, Al Wahda Abu Dhabi",0
Al Wasl Football Club,al-wasl-football-club,"A historic UAE club based in Dubai, renowned for its attacking football and deep-rooted legacy in Emirati football","Al Wasl FC, Wasl, The Emperor, Al Wasl Dubai",0
Albania,albania,The latest stories and updates on Albania,"Albanian, Republic of Albania",0
Aldar,aldar,"All the latest on Abu Dhabi's biggest listed real estate developer, Aldar Properties, known for major projects including Yas and Saadiyat islands","Aldar Properties, Aldar real estate",0
Alexander Volkanovski,alexander-volkanovski,All the news on Australian MMA fighter dominating the UFC featherweight division with his elite striking and relentless pace,"Volkanovski, Volk, The Great",0
Alexandria,alexandria,"Alexandria is a historic Egyptian city on the Mediterranean, renowned for its ancient heritage and culture","Alex, Egyptian city, Alexandria Egypt",0
Algeria,algeria,The latest stories and updates on Algeria,"Algerian, People's Democratic Republic of Algeria",0
Alphabet,alphabet,"News on Alphabet, Google's parent company - from AI and Pixel updates to regulation and latest earnings","Google parent company, Alphabet Inc, GOOGL",0
Amazon,amazon,"Read the latest on e-commerce giant Amazon, its founder Jeff Bezos and his other ventures, including Blue Origin and Amazon Web Services","Amazon.com, Jeff Bezos company, AWS, Amazon Web Services",0
Amazon Prime,amazon-prime,The latest news and reviews about what is streaming on Amazon Prime Video,"Prime Video, Amazon streaming, Amazon Prime Video",0
Amman,amman,Read the lastest news stories from the capital of Jordan,"Jordanian capital, Amman Jordan",0
Amsterdam,amsterdam,Read the lastest news stories from the capital of the Netherlands,"Dutch capital, Amsterdam Netherlands",0
Anam Rizvi fellowship work,anam-rizvi-fellowship-work,"Anam Rizvi was a mental health journalism fellow from 2021-22 and was on staff at The National for many years. She wrote extensively on the intersection between mental health and education, as well as mental health provision","Anam Rizvi, mental health fellowship",0
Andy Murray,andy-murray,The British tennis legend who for a long time was among the elite male players,"Murray, Sir Andy Murray, Andy",0
Angela Merkel,angela-merkel,"Germany's former chancellor, who led the country between 2005 and 2021, with a focus on economic stability and European unity","Merkel, German chancellor, Chancellor Merkel",0
Angola,angola,Read the latest news stories from Angola,"Angolan, Republic of Angola",0
Animals,animals,Read the news on animals,"Wildlife, fauna, creatures",0
Anthony Fauci,anthony-fauci,"Anthony Fauci is the former chief medical adviser to the US president, known for his leadership and response to the Covid-19 pandemic","Dr Fauci, Fauci, Tony Fauci",0
Anthony Joshua,anthony-joshua,The latest news on boxer Anthony Joshua,"AJ, Joshua, Anthony Joshua boxer",0
Antonio Conte,antonio-conte,The latest news on the former Tottenham manager Antonio Conte,"Conte, Antonio Conte manager",0
Antonio Guterres,antonio-guterres,The latest news on the UN Secretary General since 2017,"Guterres, UN chief, UN Secretary General",0
Antony Blinken,antony-blinken,Antony Blinken is an American diplomat who served as the 71st US secretary of state from 2021 to 2025,"Blinken, Secretary Blinken, US Secretary of State",0
Apple,apple,"Latest Apple news: iPhone, iOS, Vision Pro, AI and the industry shifts shaping the tech giant's market value","Apple Inc, AAPL, Apple products",0
Arab cinema,arab-cinema,Get the latest news on Arab cinema,"Arabic cinema, Middle East cinema, Arab films",0
Arab Fashion Week,arab-fashion-week,"Latest news, features and pictures from one the most prestigious fashion events in the Middle East, showcasing the latest collections from regional and international designers","AFW, Arab fashion",0
Arab League,arab-league,"The Arab League is regional organisation of states working to promote economic, political and cultural co-operation","League of Arab States, Arab states",0
Arabian Gulf,arabian-gulf,The latest news on the Arabian Gulf,"Persian Gulf, The Gulf, AG",0
Arabian Gulf League,arabian-gulf-league,"The former name of the UAE's premier football competition, now rebranded as the Adnoc Pro League","AGL, UAE league",0
Arabian Travel Market,arabian-travel-market,"Known as ATM, Dubai's annual travel and tourism trade fair attracts thousands of visitors from around the globe","ATM, ATM Dubai, travel market",0
Arabic,arabic,"The latest news on the Arabic language, alphabet and words","Arabic language, Arab language",0
Arabic books,arabic-books,"Releases, reviews and insights into Arabic books, covering classical literature, contemporary works and notable authors from across the Arab world","Arab literature, Arabic literature",0
Arabic food,arabic-food,"The latest Arabic food news, recipes and updates","Arab cuisine, Middle Eastern food, Arabic cuisine",0
Archaeology,archaeology,All the latest news and stories on archaeology,"Archaeological, ancient history, excavations",0
Architecture,architecture,The latest news on architecture,"Architectural design, buildings, construction",0
Argentina,argentina,All the latest news and stories on Argentina,"Argentinian, Argentine",0
Armenia,armenia,All the latest news and stories on Armenia,"Armenian, Republic of Armenia",0
Army,army,News and analysis about land-based military defence,"Military, armed forces, ground forces",0
Arne Slot,arne-slot,"Arne Slot is the manager of Liverpool, having taken over from Jurgen Klopp in the summer of 2024. The Dutchman has previously managed Feyenoord and AZ Alkmaar","Slot, Liverpool manager, Arne Slot manager",0
Arsenal,arsenal,Latest news and stories about the North London club aiming to return to its former glory in the Premier League and European competitions,"Gunners, Arsenal FC, AFC, The Arsenal",0
Art,art,"A deep dive into visual creativity, from classical masterpieces to contemporary installations, and the impact of art on culture and society","Fine art, visual arts, artwork",0
Art Dubai 2025,art-dubai,All you need to know about Art Dubai 2025,"Art Dubai, Dubai art fair",0
Art exhibitions,art-exhibitions,"A look at the latest art shows and installations, featuring emerging and established artists across different mediums","Art shows, exhibitions, art displays",0
Art galleries,art-galleries,"Exploring the world's leading art spaces, from renowned institutions to independent galleries showcasing cutting-edge creativity","Galleries, art museums, art spaces",0
Artificial intelligence,artificial-intelligence,"Latest updates on AI, tech and the impact it is having on various sectors, including the future work, arts & entertainment and social media","AI, machine learning, artificial intelligence tech",0
Aryna Sabalenka,aryna-sabalenka,Latest news and stories about the Belarusian tennis star heading into 2026 as women's world No 1,"Sabalenka, Aryna, Sabalenka tennis",0
AS Roma,as-roma,"Updates and analysis on the iconic Italian football club, from Serie A performances to Champions League aspirations","Roma, AS Roma, Giallorossi",0
Asia,asia,"The latest news, stories and updates from the world's largest continent","Asian continent, Asian nations",0
Asia Cup 2025,asia-cup,"All you need to know about cricket's Asia Cup 2025, including dates, fixtures, teams and schedules","Asia Cup cricket, ACC Asia Cup",0
Aston Martin,aston-martin,"The luxury car manufacturer competing in Formula One, striving for success with its ambitious racing project led by Lawrence Stroll, Adrian Newey and Andy Cowell","Aston Martin F1, AM F1, Aston Martin Racing",0
Aston Villa,aston-villa,A resurgent Premier League club making strides in European football under ambitious manager Unai Emery,"Villa, AVFC, The Villans",0
Athens,athens,Read the lastest news stories from the capital of Greece,"Greek capital, Athens Greece",0
Athletics,athletics,"The latest updates from track and field events, covering world championships, Olympic stars and rising talents","Track and field, athletics sport",0
Atletico Madrid,atletico-madrid,The Spanish club known for its defensive resilience and fiery intensity in La Liga and Europe under the management of Diego Simeone,"Atleti, Atletico, ATM, Los Colchoneros",0
ATP Tour,atp-tour,"The premier men's tennis circuit, featuring Grand Slams, Masters 1000 events and the world's top-ranked players","ATP, men's tennis, Association of Tennis Professionals",0
Auctions,auctions,"High-profile sales of art, antiques, luxury goods and rare collectibles from the major international auction houses such as Sotheby's and Christie's","Auction houses, art auctions, Christie's, Sotheby's",0
Audi,audi,"The German luxury car manufacturer known for its sophisticated design, cutting-edge technology and high-performance vehicles, from electric models to sports cars","Audi AG, Audi cars",0
Australia,australia,"The latest news, stories and updates from Australia","Australian, Aussie, Commonwealth of Australia",0
Australia Cricket,australia-cricket,"Updates on one of cricket's most dominant teams, from Ashes battles to World Cup triumphs","Aussie cricket, Australian cricket team, Baggy Greens",0
Australian Open,australian-open,"The first Grand Slam of the year, known for its fast-paced matches and extreme Melbourne heat","Aus Open, AO, Australian Open tennis",0
Austria,austria,"The latest news, stories and updates from Austria","Austrian, Republic of Austria",0
Awards season 2026,awards-season,Read the latest awards season news from The National including calendar dates for the Oscars and Tony Awards,"Awards, Oscars season, awards ceremonies",0
Ayatollah Ali Khamenei,ayatollah-ali-khamenei,The latest news on Iran's supreme leader,"Khamenei, Iran supreme leader, Ali Khamenei",0
Azerbaijan,azerbaijan,"The latest news, business and culture stories from Azerbaijan","Azerbaijani, Republic of Azerbaijan, Azeri",0
Babar Azam,babar-azam,The latest news on Pakistan and PSL cricketer Babar Azam,"Babar, Azam, Pakistan captain",0
Babies,babies,"Everything about newborn care, parenting tips, baby products and expert advice on ensuring a child's health, happiness and development","Newborns, infants, baby care",0
Back to school,back-to-school,"Latest news and tips for the annual return of pupils to classrooms, marked by supply shopping, new academic challenges and education reforms","Back to school season, school return",0
Baftas 2026,baftas,"All the latest news on the Baftas, including nominations, dates and times","British Academy Film Awards, BAFTA, UK Oscars",0
Baghdad,baghdad,Read the lastest news stories from the capital of Iraq,"Iraqi capital, Baghdad Iraq",0
Bahamas,bahamas,The latest news on the Caribbean nation,"Bahamian, Commonwealth of The Bahamas",0
Bahrain,bahrain,The latest news on the GCC nation,"Bahraini, Kingdom of Bahrain, BH",0
Bangladesh,bangladesh,The latest news on the South Asian nation,"Bangladeshi, BD, People's Republic of Bangladesh",0
Bangladesh cricket,bangladesh-cricket,Updates and news on the Bangladesh cricket team covering Test matches ODIs and T20Is,"Bangladesh cricket team, Tigers, BD cricket",0
Banking,banking,"Latest updates on the banking sector - UAE, regional, Islamic and global bank news","Banks, financial institutions, banking sector",0
Banksy,banksy,Get the latest news on street artist Banksy,"Street artist, Banksy art",0
Barack Obama,barack-obama,"The 44th President of the United States, known for his historic election win in 2008 as the first African-American president and key policies like the Affordable Care Act","Obama, President Obama, Barack, 44th president",0
Barcelona,barcelona,Latest news and stories on and off the pitch about the legendary Catalan club,"Barca, Barcelona FC, FCB, Blaugrana, FC Barcelona",0
Barham Salih,barham-salih,"Iraq's former President, and soon to be new chief of UN's refugee agency","Barham Salih, Iraq president",0
Bashar Al Assad,bashar-al-assad,Latest news and stories about the ousted Syrian president who is now exiled in Moscow,"Assad, Bashar Assad, Syrian president, Al Assad",0
Basketball,basketball,"Coverage of the NBA, international leagues and rising stars making an impact around the world","Basketball sport, hoops, NBA",0
Bayern Munich,bayern-munich,"Latest news about Germany's dominant football powerhouse, consistently competing for Bundesliga and European titles","Bayern, FCB, FC Bayern, Die Roten",0
Beauty,beauty,"The latest trends in skincare, cosmetics, and self-care featuring expert advice, product reviews and beauty routines","Cosmetics, skincare, makeup, beauty products",0
Beijing,beijing,Read the lastest news and business stories from the capital of China,"Chinese capital, Beijing China, Peking",0
Beirut,beirut,"Read the lastest news, business and culture stories from the capital of Lebanon","Lebanese capital, Beirut Lebanon",0
Beirut explosion,beirut-explosion,"Anniversary of the deadly Beirut port blast on August 4, 2020","Beirut blast, port explosion, August 4 explosion",0
Belarus,belarus,The latest news on the eastern European nation,"Belarusian, Republic of Belarus",0
Belgium,belgium,The latest news and business from the European country that headquarters the EU and Nato,"Belgian, Kingdom of Belgium, BE",0
Ben Stokes,ben-stokes,"England's charismatic cricket captain, known for his aggressive batting and leadership","Stokes, Ben Stokes cricket, England captain",0
Benjamin Netanyahu,benjamin-netanyahu,Latest news on Israel's Prime Minister,"Netanyahu, Bibi, Israeli PM, PM Netanyahu",0
Bentley,bentley,"The iconic British luxury car brand that combines handcrafted interiors with powerful performance, producing some of the world's most prestigious vehicles","Bentley Motors, Bentley cars",0
Berlin,berlin,Read the lastest news and business stories from the capital of Germany,"German capital, Berlin Germany",0
Beyonce,beyonce,The latest news on Beyonce,"Beyoncé, Queen Bey, Beyonce Knowles",0
Beyond the Headlines,beyond-the-headlines,Beyond the Headlines is a podcast from The National offering a deep dive into the biggest stories from the Middle East and around the world,"BTH, Beyond Headlines podcast",0
BJP,bharatiya-janata-party,All you need to know about India's Bharatiya Janata Party,"Bharatiya Janata Party, Indian People's Party, BJP party",0
Bill Gates,bill-gates,"News about the co-founder of Microsoft and world-leading philanthropist, focusing on global health, climate change and technological innovation","Gates, Bill Gates Microsoft, William Gates",0
Billionaires,billionaires,"News on the world's wealthiest individuals - businesses, investments, philanthropy and global influence","Billionaire, wealthy elite, ultra-rich",0
Bitcoin,bitcoin,"Bitcoin news, crypto market trends and updates on blockchain and decentralised finance shaping the digital economy","BTC, cryptocurrency, digital currency",0
Black Lives Matter,black-lives-matter,A global movement advocating against racial injustice and police brutality,"BLM, Black Lives Matter movement",0
Blockchain,blockchain,News on the decentralised digital ledger technology that powers cryptocurrencies and secure transactions,"Blockchain technology, distributed ledger",0
BMW,bmw,A leading German car manufacturer renowned for high-performance and innovative technology from its SUVs and sedans to electric vehicles,"Bayerische Motoren Werke, BMW cars",0
Boeing,boeing,Latest updates on Boeing's commercial and defence aircraft and its role in the Mena region's aviation and travel industries,"Boeing Company, Boeing aircraft",0
Bollywood,bollywood,"Latest film reviews, gossip and news from the heart of India's film industry","Hindi cinema, Indian cinema, Mumbai films",0
Book reviews,book-reviews,Latest book reviews and essays from around the world,"Book critiques, literary reviews",0
Boris Johnson,boris-johnson,The former UK prime minister known for his leadership during Brexit and the Covid-19 pandemic,"BoJo, Johnson, UK PM, Prime Minister Johnson",0
Borussia Dortmund,borussia-dortmund,"Read the latest news about the Bundesliga club famous for its passionate fans, nurturing young footballing talent and attacking philosophy","Dortmund, BVB, Borussia, Die Schwarzgelben",0
Bosnia and Herzegovina,bosnia-and-herzegovina,The latest news on the eastern European nation,"Bosnia, BiH, Bosnian",0
Boxing,boxing,"The latest news on major fights, title bouts and the biggest names in the world of boxing","Boxing sport, prizefighting, pugilism",0
Brazil,brazil,The latest news on the South American nation,"Brazilian, Brasil, Federative Republic of Brazil",0
Brexit,brexit,"The UK's withdrawal from the EU, which continues to shape the country's trade, immigration and political relations with Europe","British exit, EU withdrawal, UK Brexit",0
British Airways,british-airways,The latest news on the UK's flagship airline,"BA, British Airways airline",0
Britney Spears,britney-spears,American music legend referred to as Princess of Pop. Her debut song Baby One More Time is one of best selling singles in history,"Britney, Princess of Pop, Spears",0
Bruno Fernandes,bruno-fernandes,All the news on Man United and Portugal midfielder Bruno Fernandes,"Fernandes, Bruno, Man United midfielder",0
Buisness Insights,buisness-insights,Comment and analysis from our business experts,"Business analysis, business commentary",0
Bukayo Saka,bukayo-saka,The latest news on Arsenal and England footballer Bukayo Saka,"Saka, Bukayo, Arsenal winger",0
Bulgaria,bulgaria,The latest news on the eastern European nation,"Bulgarian, Republic of Bulgaria",0
Bundesliga,bundesliga,"All the news from Germany's top football league, home to powerhouse clubs like Bayern Munich and Borussia Dortmund and emerging international stars","German league, German football, Bundesliga football",0
Burj Al Arab,burj-al-arab,"Latest updates about one of the world's most luxurious hotels and iconic symbol of Dubai, operated by Jumeirah Hotels","Burj Al Arab hotel, Dubai hotel, 7-star hotel",0
Burj Khalifa,burj-khalifa,"The latest news and events surrounding the world's tallest building, standing at the heart of Downtown Dubai","Tallest building, Burj, Dubai tower",0
Burkina Faso,burkina-faso,The latest news on the West African nation,"Burkinabe, Burkina",0
Business Extra,business-extra,"Business Extra is a podcast from The National with the latest stories on innovation, technology and leaders shaping the world","Business Extra podcast, BE podcast",0
Business Insights,business-insights,Comment and analysis from our business experts,"Business analysis, business commentary, insights",0
Buying Health,buying-health,Read the latest from The National's latest series Buying Health,"Health series, Buying Health series",0
Cairo,cairo,"Read the lastest news, business and culture stories from the capital of Egypt","Egyptian capital, Cairo Egypt",0
California,california,"Latest tech, entertainment and political news from the most populous state in the US","CA, Cali, Golden State",0
Cameroon,cameroon,The latest news on the central African nation,"Cameroonian, Republic of Cameroon",0
Canada,canada,The latest news on the North American nation,"Canadian, CA, Great White North",0
Cancer,cancer,"Cancer news and updates, including health stories, symptoms and causes","Cancer disease, oncology, malignancy",0
Canelo Alvarez,canelo-alvarez,"The latest news on boxing's pound-for-pound superstar, dominating weight classes with his power and technique","Canelo, Alvarez, Saul Alvarez",0
Cannes Film Festival 2026,cannes-film-festival,All you need to know about the prestigious annual event in France where filmmakers and actors celebrate the best in global cinema,"Cannes, Festival de Cannes, Cannes festival",0
Captagon,captagon,Captagon is a highly addictive drug sweeping the Middle East. The amphetamine has been associated with the war in Syria and it has led to a crackdown by officials in the Gulf,"Fenethylline, Captagon drug, amphetamine",0
Captagon Crisis,captagon-crisis,Captagon crisis in the Middle East,"Drug crisis, Captagon epidemic",0
Caribbean,caribbean,"The latest news, travel and business from the Caribbean region","Caribbean islands, West Indies",0
Carlo Ancelotti,carlo-ancelotti,The legendary Italian manager who previously guided Real Madrid,"Ancelotti, Carlo, Don Carlo",0
Carlos Alcaraz,carlos-alcaraz,"The latest news on tennis player Carlos Alcaraz, Spain's rising sensation","Alcaraz, Carlitos, Spanish tennis player",0
Cars,cars,"News, reviews and insights into the automotive world, covering the latest launches, industry trends, emerging technologies and road safety","Automobiles, vehicles, automotive",0
Cartoon,cartoon,View the latest cartoon from The National,"Editorial cartoon, political cartoon",0
Casablanca,casablanca,"The latest news from Morocco's economic hub, blending modern commerce with cultural heritage","Casa, Casablanca Morocco",0
Celebrities,celebrities,"The latest updates on Hollywood stars, musicians and public figures, from career highlights to personal milestones","Celebs, famous people, stars",0
Celebrity deaths,celebrity-deaths,"Tributes and retrospectives on the lives and legacies of influential figures in politics, entertainment, sports and culture","Celebrity obituaries, star deaths, famous deaths",0
Celebrity fashion,celebrity-fashion,"The latest news on celebrity style, designers and red carpet looks","Celeb fashion, star style, red carpet fashion",0
Celebrity weddings,celebrity-weddings,"Latest news on celebrity couples who got engaged, married and divorced","Celeb weddings, star weddings, celebrity marriages",0
Central Asia,central-asia,"The latest news, travel and business from countries in Central Asia - including developments from Afghanistan","Central Asian nations, CA region",0
Central Bank Of Lebanon,central-bank-of-lebanon,"Latest updates on the Banque du Liban, an entity overseeing Lebanon's banking sector, currency and monetary policy","BDL, Banque du Liban, Lebanese central bank",0
CES 2026,ces,"Latest news on the annual Consumer Electronics Show in Las Vegas - new gadgets, smart home tech, AI and more","Consumer Electronics Show, CES Las Vegas, tech show",0
Champions League,champions-league,"Uefa's elite club football competition, where the best teams battle for supremacy in Europe","UCL, UEFA Champions League, European Cup",0
Chanel,chanel,"The legendary French fashion house known for its timeless elegance, signature tweed suits and the iconic Chanel No 5 perfume","Chanel brand, Coco Chanel, Chanel fashion",0
Charles Leclerc,charles-leclerc,Ferrari's lead driver aiming to bring the Scuderia back to the top of Formula One and win the world drivers' championship himself,"Leclerc, Charles, Ferrari driver, CL16",0
Chefs,chefs,"In-depth profiles of world-renowned culinary experts, their signature dishes and their influence on global dining trends, from Michelin-starred restaurants to viral food movements","Celebrity chefs, culinary experts, cooks",0
Chelsea,chelsea-fc,"Get the latest news, results, match reports and player ratings on Chelsea Football Club","Chelsea FC, The Blues, CFC",0
Chennai Super Kings,chennai-super-kings,"One of the most successful IPL franchises, known for its loyal fanbase and star-studded squad led by MS Dhoni","CSK, Super Kings, Chennai cricket",0
Chernobyl,chernobyl,The latest news on Chernobyl,"Chernobyl disaster, nuclear accident",0
Child safety,child-safety,Read the latest news on child safety,"Child protection, kids safety",0
Children,children,"News on schools, education, childcare, children's health and child rights advocacy","Kids, youth, minors",0
China,china,"Latest news on the Asian country and global superpower, dominating manufacturing, trade, technology and international politics","Chinese, PRC, People's Republic of China",0
Christianity,christianity,"All the latest stories on Christianity, including religious festivals and holiday dates","Christian faith, Christian religion",0
Christmas 2026,christmas,All the news on Christmas 2026,"Xmas, Christmas Day, festive season",0
Climate change,climate-change,Read the latest climate change and environment news in the UAE and around the world,"Global warming, climate crisis, environmental change",0
Colombia,colombia,A South American country famous for its coffee. It is overcoming decades of conflict while boosting its economy and tourism,"Colombian, Republic of Colombia",0
Comedy,comedy,"Exploring the world of humour, from stand-up performances to film and television sitcoms","Stand-up, comedy shows, comedians",0
Comic Con,comic-cons,Latest updates from comic book conventions from around the world,"Comic conventions, fan conventions, Comic-Con",0
Commemoration Day,commemoration-day,"All you need to know about UAE's Commemoration Day, a national holiday marked on November 30 honouring the country's fallen heroes","Martyrs Day, UAE Commemoration Day",0
Comoros,comoros,"An archipelagic country in the Indian Ocean, navigating political and economic challenges. It is a member of the Arab League","Comorian, Union of Comoros",0
Congo,congo,"Latest updates on the Central African country also known as DR Congo. It is a resource-rich nation struggling with conflict, governance and humanitarian issues","DRC, Democratic Republic of Congo, Congolese",0
